seed,val_baseline_rmse_m
0,26.186
1,25.7615
2,25.3923
3,25.1748
4,24.5514
5,24.6317
6,24.9807
7,26.3777
8,25.5273
9,25.74
10,24.6386
11,25.8603
12,25.8871
13,25.7804
14,25.2345
15,25.5312
16,25.1255
17,25.7266
18,24.4498
19,26.2974
20,24.7421
21,25.1659
22,26.3651
23,25.9181
24,25.1259
25,24.3163
26,24.8268
27,23.8858
28,25.0191
29,25.272
30,25.1649
31,24.9689
32,25.0095
33,24.4501
34,24.9428
35,25.4638
36,24.7425
37,25.267
38,24.5305
39,24.7382
40,25.5749
41,25.4179
42,25.9548
43,24.0741
44,25.5417
45,25.4165
46,25.0473
47,26.3729
48,26.2846
49,25.1908
50,25.1817
51,25.5701
52,25.4957
53,25.405
54,23.5422
55,25.2211
56,26.034
57,24.6636
58,23.9018
59,26.2313
60,25.3142
61,25.0326
62,25.3131
63,24.7671
64,25.0893
65,25.8042
66,24.9337
67,25.5765
68,25.2384
69,25.4221
70,24.2071
71,25.8277
72,24.8307
73,25.6965
74,24.9636
75,25.5354
76,24.9432
77,26.1883
78,25.0719
79,24.0336
80,24.7418
81,25.2856
82,24.6537
83,24.6706
84,25.6779
85,26.0159
86,25.3597
87,24.6121
88,25.0081
89,25.32
90,25.4014
91,24.5814
92,24.5919
93,25.6728
94,24.578
95,25.8414
96,24.56
97,25.3379
98,26.2551
99,25.1518
100,24.9149
101,25.3889
102,24.9896
103,24.9849
104,26.0073
105,24.7086
106,25.2952
107,25.3982
108,25.616
109,26.2033
110,25.3254
111,24.7905
112,24.6844
113,25.9302
114,25.5425
115,24.9699
116,24.7977
117,24.8656
118,24.846
119,25.2532
120,24.8732
121,25.8785
122,25.4462
123,25.0462
124,24.7603
125,25.3106
126,23.2529
127,26.2796
128,25.4325
129,25.0074
130,24.5036
131,25.788
132,25.8777
133,25.1611
134,24.4522
135,25.0328
136,24.3011
137,25.5229
138,24.604
139,24.0796
140,25.1373
141,24.9969
142,24.8674
143,25.4501
144,25.5703
145,25.8262
146,24.818
147,24.9742
148,24.111
149,24.1759
150,25.6481
151,23.686
152,24.0861
153,25.9837
154,24.7178
155,25.1218
156,25.0836
157,25.299
158,24.4958
159,25.5112
160,24.652
161,24.1754
162,24.8163
163,24.2809
164,25.0472
165,25.843
166,24.9518
167,24.9391
168,25.0571
169,25.0609
170,24.8529
171,25.7033
172,25.789
173,24.9368
174,25.3822
175,25.0678
176,24.6901
177,25.5188
178,25.182
179,25.2677
180,24.857
181,26.5512
182,26.011
183,24.4681
184,24.503
185,25.3472
186,25.0551
187,25.8984
188,25.1358
189,24.8399
190,24.8205
191,25.3744
192,25.4961
193,25.5215
194,24.4328
195,24.5338
196,24.6257
197,25.6085
198,26.137
199,25.431
